#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=T: Hallo Frau Swensen.
1-1	0-1	T	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-3	3-8	Hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	14-21	Swensen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	21-22	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=T: Guten Morgen.
2-1	23-24	T	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-2	24-25	:	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-3	26-31	Guten	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-4	32-38	Morgen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-5	38-39	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=P: Ja, hallo, guten Morgen.
3-1	40-41	P	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-2	41-42	:	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-3	43-45	Ja	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-4	45-46	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-5	47-52	hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-6	52-53	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-7	54-59	guten	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-8	60-66	Morgen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-9	66-67	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=T (glz.): Wie geht es Ihnen denn?
4-1	68-69	T	_	_	_	_	_	_	_	_	_	_	
4-2	70-71	(	_	_	_	_	_	_	_	_	_	_	
4-3	71-74	glz	_	_	_	_	_	_	_	_	_	_	
4-4	74-75	.	_	_	_	_	_	_	_	_	_	_	
4-5	75-76	)	_	_	_	_	_	_	_	_	_	_	
4-6	76-77	:	_	_	_	_	_	_	_	_	_	_	
4-7	78-81	Wie	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-8	82-86	geht	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-9	87-89	es	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-10	90-95	Ihnen	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-11	96-100	denn	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-12	100-101	?	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=P: Ja, gerade nicht so gut.
5-1	102-103	P	_	_	_	_	_	_	_	_	_	_	
5-2	103-104	:	_	_	_	_	_	_	_	_	_	_	
5-3	105-107	Ja	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-4	107-108	,	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-5	109-115	gerade	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-6	116-121	nicht	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-7	122-124	so	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-8	125-128	gut	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-9	128-129	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=P: Ich habe jetzt auch wirklich zu Ihnen Kontakt aufgenommen, weil die Situation gerade so ein bisschen angespannt ist daheim.
6-1	130-131	P	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-2	131-132	:	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-3	133-136	Ich	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-4	137-141	habe	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-5	142-147	jetzt	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-6	148-152	auch	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-7	153-161	wirklich	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-8	162-164	zu	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-9	165-170	Ihnen	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-10	171-178	Kontakt	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-11	179-190	aufgenommen	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-12	190-191	,	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-13	192-196	weil	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-14	197-200	die	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-15	201-210	Situation	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-16	211-217	gerade	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-17	218-220	so	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-18	221-224	ein	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-19	225-233	bisschen	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-20	234-244	angespannt	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-21	245-248	ist	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-22	249-255	daheim	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
6-23	255-256	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=T (glz.): Ja.
7-1	257-258	T	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
7-2	259-260	(	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
7-3	260-263	glz	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
7-4	263-264	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[30]	*[30]	*[30]	Nicht-festgelegte Aufmerksamkeitsreaktion[30]	
7-5	264-265	)	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[30]	*[30]	*[30]	Nicht-festgelegte Aufmerksamkeitsreaktion[30]	
7-6	265-266	:	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[30]	*[30]	*[30]	Nicht-festgelegte Aufmerksamkeitsreaktion[30]	
7-7	267-269	Ja	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[30]	*[30]	*[30]	Nicht-festgelegte Aufmerksamkeitsreaktion[30]	
7-8	269-270	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[30]	*[30]	*[30]	Nicht-festgelegte Aufmerksamkeitsreaktion[30]	

#Text=T (glz.): Ja.
8-1	271-272	T	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
8-2	273-274	(	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
8-3	274-277	glz	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
8-4	277-278	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
8-5	278-279	)	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[31]	*[31]	*[31]	Nicht-festgelegte Aufmerksamkeitsreaktion[31]	
8-6	279-280	:	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[31]	*[31]	*[31]	Nicht-festgelegte Aufmerksamkeitsreaktion[31]	
8-7	281-283	Ja	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[31]	*[31]	*[31]	Nicht-festgelegte Aufmerksamkeitsreaktion[31]	
8-8	283-284	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[31]	*[31]	*[31]	Nicht-festgelegte Aufmerksamkeitsreaktion[31]	

#Text=P: Die Noten, die der Michi gerade nach Hause bringt, die passen uns nicht.
9-1	285-286	P	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-2	286-287	:	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-3	288-291	Die	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-4	292-297	Noten	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-5	297-298	,	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-6	299-302	die	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-7	303-306	der	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-8	307-312	Michi	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-9	313-319	gerade	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-10	320-324	nach	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-11	325-330	Hause	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-12	331-337	bringt	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-13	337-338	,	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-14	339-342	die	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-15	343-349	passen	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-16	350-353	uns	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-17	354-359	nicht	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
9-18	359-360	.	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=P: Es ist irgendwie schwierig.
10-1	361-362	P	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-2	362-363	:	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-3	364-366	Es	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-4	367-370	ist	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-5	371-380	irgendwie	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-6	381-390	schwierig	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
10-7	390-391	.	_	_	_	_	_	_	_	_	_	_	

#Text=P: Ich kann mir nicht vorstellen, dass er mit den Noten jetzt so direkt aufs Gymnasium marschiert und das ist eigentlich das, was wir uns für ihn wünschen.
11-1	392-393	P	_	_	_	_	_	_	_	_	_	_	
11-2	393-394	:	_	_	_	_	_	_	_	_	_	_	
11-3	395-398	Ich	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-4	399-403	kann	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-5	404-407	mir	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-6	408-413	nicht	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-7	414-424	vorstellen	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-8	424-425	,	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-9	426-430	dass	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-10	431-433	er	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-11	434-437	mit	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-12	438-441	den	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-13	442-447	Noten	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-14	448-453	jetzt	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-15	454-456	so	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-16	457-463	direkt	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-17	464-468	aufs	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-18	469-478	Gymnasium	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-19	479-489	marschiert	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-20	490-493	und	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-21	494-497	das	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-22	498-501	ist	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
11-23	502-512	eigentlich	*[4]	Inhaltlicher Rahmen[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
