#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=E: Sehr geehrte Frau Kreis, ich hoffe Ihnen geht es gut.
1-1	0-1	E	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-3	3-7	Sehr	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	8-15	geehrte	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	16-20	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	21-26	Kreis	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	26-27	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	28-31	ich	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	32-37	hoffe	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-10	38-43	Ihnen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-11	44-48	geht	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-12	49-51	es	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-13	52-55	gut	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-14	55-56	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=Sie hatten mich letztens im Hausaufgabenheft um eine Sprechstunde bezüglich Samaras Leistungen in Englisch gebeten.
2-1	57-60	Sie	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-2	61-67	hatten	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-3	68-72	mich	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-4	73-81	letztens	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-5	82-84	im	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-6	85-101	Hausaufgabenheft	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-7	102-104	um	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-8	105-109	eine	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-9	110-122	Sprechstunde	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-10	123-132	bezüglich	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-11	133-140	Samaras	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-12	141-151	Leistungen	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-13	152-154	in	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-14	155-163	Englisch	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-15	164-171	gebeten	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-16	171-172	.	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=Können Sie mir dazu mehr erläutern?
3-1	173-179	Können	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-2	180-183	Sie	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-3	184-187	mir	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-4	188-192	dazu	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-5	193-197	mehr	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-6	198-207	erläutern	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-7	207-208	?	*[3]	Inhaltlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=Mit freundlichen Grüßen, Jana Grün
