#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=T: Hallo Frau Svensson, ich hatte Ihnen ja wegen dem Vorfall mit Michel eine Notiz in sein HAusaufgabenheft gechrieben.
1-1	0-1	T	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	14-22	Svensson	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	22-23	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	24-27	ich	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	28-33	hatte	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	34-39	Ihnen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-10	40-42	ja	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-11	43-48	wegen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-12	49-52	dem	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-13	53-60	Vorfall	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-14	61-64	mit	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-15	65-71	Michel	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-16	72-76	eine	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-17	77-82	Notiz	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-18	83-85	in	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-19	86-90	sein	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-20	91-107	HAusaufgabenheft	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-21	108-118	gechrieben	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-22	118-119	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=Haben Sie diese schon gelesen?
2-1	120-125	Haben	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-2	126-129	Sie	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-3	130-135	diese	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-4	136-141	schon	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-5	142-149	gelesen	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-6	149-150	?	*[2]	Sonstiges[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=P: Hallo Herr Prysselius,
3-1	151-152	P	_	_	_	_	_	_	_	_	_	_	
3-2	152-153	:	_	_	_	_	_	_	_	_	_	_	
3-3	154-159	Hallo	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-4	160-164	Herr	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-5	165-175	Prysselius	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-6	175-176	,	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=ja, ich habe die Nachricht schon gesehen.
4-1	177-179	ja	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
4-2	179-180	,	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
4-3	181-184	ich	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
4-4	185-189	habe	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
