#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=T: Hallo Frau Svensson, grüß Sie.
1-1	0-1	T	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	14-22	Svensson	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	22-23	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	24-28	grüß	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	29-32	Sie	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	32-33	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=P: Ja, hallo, guten Morgen.
2-1	34-35	P	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-2	35-36	:	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-3	37-39	Ja	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-4	39-40	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-5	41-46	hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-6	46-47	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-7	48-53	guten	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-8	54-60	Morgen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-9	60-61	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=T (glz.): Gut, dass Sie es einrichten konnten, auch jetzt hier über digitale Wege.
3-1	62-63	T	_	_	_	_	_	_	_	_	_	_	
3-2	64-65	(	_	_	_	_	_	_	_	_	_	_	
3-3	65-68	glz	_	_	_	_	_	_	_	_	_	_	
3-4	68-69	.	_	_	_	_	_	_	_	_	_	_	
3-5	69-70	)	_	_	_	_	_	_	_	_	_	_	
3-6	70-71	:	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-7	72-75	Gut	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-8	75-76	,	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-9	77-81	dass	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-10	82-85	Sie	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-11	86-88	es	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-12	89-99	einrichten	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-13	100-107	konnten	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-14	107-108	,	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-15	109-113	auch	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-16	114-119	jetzt	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-17	120-124	hier	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-18	125-129	über	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-19	130-138	digitale	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-20	139-143	Wege	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-21	143-144	.	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=T (glz.): Das ist ja heutzutage eigentlich kein Problem mehr, oder?
