#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Liebe Frau Grün, danke, dass Sie sich auf meine Nachricht im Hausaufgabenheft melden.
1-1	0-1	L	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Liebe	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-5	14-18	Grün	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-6	18-19	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-7	20-25	danke	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-8	25-26	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-9	27-31	dass	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-10	32-35	Sie	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-11	36-40	sich	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-12	41-44	auf	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-13	45-50	meine	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-14	51-60	Nachricht	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-15	61-63	im	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-16	64-80	Hausaufgabenheft	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-17	81-87	melden	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	
1-18	87-88	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[13]	*[13]	*[13]	Statement[13]	

#Text=Ich würde wie gesagt gerne mit Ihnen über Samaras Leistungen in Englisch sprechen.
2-1	89-92	Ich	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-2	93-98	würde	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-3	99-102	wie	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-4	103-109	gesagt	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-5	110-115	gerne	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-6	116-119	mit	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-7	120-125	Ihnen	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-8	126-130	über	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-9	131-138	Samaras	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-10	139-149	Leistungen	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-11	150-152	in	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-12	153-161	Englisch	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-13	162-170	sprechen	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
