#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Hallo Frau Krasnyy,
1-1	0-1	L	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Hallo	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	14-21	Krasnyy	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	21-22	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=Danke dass Sie Kontakt mit mir aufnehmen.
2-1	23-28	Danke	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-2	29-33	dass	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-3	34-37	Sie	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-4	38-45	Kontakt	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-5	46-49	mit	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-6	50-53	mir	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-7	54-63	aufnehmen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-8	63-64	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=E: Hallo Frau Kreis,
3-1	65-66	E	_	_	_	_	_	_	_	_	_	_	_	
3-2	66-67	:	_	_	_	_	_	_	_	_	_	_	_	
3-3	68-73	Hallo	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-4	74-78	Frau	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-5	79-84	Kreis	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
3-6	84-85	,	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=vielen Dank, dass Sie meinen Sohn so wunderbar in die Klasse aufgenommen haben.
4-1	86-92	vielen	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-2	93-97	Dank	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-3	97-98	,	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-4	99-103	dass	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-5	104-107	Sie	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-6	108-114	meinen	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-7	115-119	Sohn	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-8	120-122	so	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-9	123-132	wunderbar	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-10	133-135	in	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-11	136-139	die	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-12	140-146	Klasse	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-13	147-158	aufgenommen	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-14	159-164	haben	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-15	164-165	.	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=Ich freue mich nun Sie kennenzulernen.
5-1	166-169	Ich	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
