#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Dann passt es bei Ihnen, oder?
1-1	0-1	L	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	_	
1-3	3-7	Dann	_	_	_	_	_	_	_	_	_	_	_	
1-4	8-13	passt	_	_	_	_	_	_	_	_	_	_	_	
1-5	14-16	es	_	_	_	_	_	_	_	_	_	_	_	
1-6	17-20	bei	_	_	_	_	_	_	_	_	_	_	_	
1-7	21-26	Ihnen	_	_	_	_	_	_	_	_	_	_	_	
1-8	26-27	,	_	_	_	_	_	_	_	_	_	_	_	
1-9	28-32	oder	_	_	_	_	_	_	_	_	_	_	_	
1-10	32-33	?	_	_	_	_	_	_	_	_	_	_	_	

#Text=E (glz.): Jetzt muss ich wieder zustimmen, warte mal.
2-1	34-35	E	_	_	_	_	_	_	_	_	_	_	_	
2-2	36-37	(	_	_	_	_	_	_	_	_	_	_	_	
2-3	37-40	glz	_	_	_	_	_	_	_	_	_	_	_	
2-4	40-41	.	_	_	_	_	_	_	_	_	_	_	_	
2-5	41-42	)	_	_	_	_	_	_	_	_	_	_	_	
2-6	42-43	:	_	_	_	_	_	_	_	_	_	_	_	
2-7	44-49	Jetzt	_	_	_	_	_	_	_	_	_	_	_	
2-8	50-54	muss	_	_	_	_	_	_	_	_	_	_	_	
2-9	55-58	ich	_	_	_	_	_	_	_	_	_	_	_	
2-10	59-65	wieder	_	_	_	_	_	_	_	_	_	_	_	
2-11	66-75	zustimmen	_	_	_	_	_	_	_	_	_	_	_	
2-12	75-76	,	_	_	_	_	_	_	_	_	_	_	_	
2-13	77-82	warte	_	_	_	_	_	_	_	_	_	_	_	
2-14	83-86	mal	_	_	_	_	_	_	_	_	_	_	_	
2-15	86-87	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E: Verstanden.
3-1	88-89	E	_	_	_	_	_	_	_	_	_	_	_	
3-2	89-90	:	_	_	_	_	_	_	_	_	_	_	_	
3-3	91-101	Verstanden	_	_	_	_	_	_	_	_	_	_	_	
3-4	101-102	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E: Genau, ja.
4-1	103-104	E	_	_	_	_	_	_	_	_	_	_	_	
4-2	104-105	:	_	_	_	_	_	_	_	_	_	_	_	
4-3	106-111	Genau	_	_	_	_	_	_	_	_	_	_	_	
4-4	111-112	,	_	_	_	_	_	_	_	_	_	_	_	
4-5	113-115	ja	_	_	_	_	_	_	_	_	_	_	_	
4-6	115-116	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=L: Alles klar.
5-1	117-118	L	_	_	_	_	_	_	_	_	_	_	_	
5-2	118-119	:	_	_	_	_	_	_	_	_	_	_	_	
5-3	120-125	Alles	_	_	_	_	_	_	_	_	_	_	_	
5-4	126-130	klar	_	_	_	_	_	_	_	_	_	_	_	
5-5	130-131	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=L: Guten Tag, Herr Grün.
6-1	132-133	L	_	_	_	_	_	_	_	_	_	_	_	
6-2	133-134	:	_	_	_	_	_	_	_	_	_	_	_	
6-3	135-140	Guten	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	
6-4	141-144	Tag	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	
6-5	144-145	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	
6-6	146-150	Herr	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	
6-7	151-155	Grün	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	
6-8	155-156	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[36]	*[36]	*[36]	Statement[36]	

#Text=L: Vielen Dank, dass Sie sich die Zeit genommen haben für das Gespräch heute.
7-1	157-158	L	_	_	_	_	_	_	_	_	_	_	_	
7-2	158-159	:	_	_	_	_	_	_	_	_	_	_	_	
7-3	160-166	Vielen	*[2]	Smalltalk[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[37]	*[37]	*[37]	Statement[37]	
