#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=T: Guten Tag Frau Svensson, schön, dass Sie heute gekommen sind.
1-1	0-1	T	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Guten	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-12	Tag	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	13-17	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	18-26	Svensson	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	26-27	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	28-33	schön	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	33-34	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-10	35-39	dass	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-11	40-43	Sie	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-12	44-49	heute	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-13	50-58	gekommen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-14	59-63	sind	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-15	63-64	.	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=P: Hallo Frau Prysselius, danke, dass Sie mich gleich informiert haben und sich Zeit für mich nehmen.
2-1	65-66	P	_	_	_	_	_	_	_	_	_	_	
2-2	66-67	:	_	_	_	_	_	_	_	_	_	_	
2-3	68-73	Hallo	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-4	74-78	Frau	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-5	79-89	Prysselius	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-6	89-90	,	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-7	91-96	danke	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-8	96-97	,	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-9	98-102	dass	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-10	103-106	Sie	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-11	107-111	mich	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-12	112-118	gleich	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-13	119-129	informiert	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-14	130-135	haben	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-15	136-139	und	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-16	140-144	sich	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-17	145-149	Zeit	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-18	150-153	für	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-19	154-158	mich	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-20	159-165	nehmen	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-21	165-166	.	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=T: Bitte, setzten Sie sich doch.
3-1	167-168	T	_	_	_	_	_	_	_	_	_	_	
3-2	168-169	:	_	_	_	_	_	_	_	_	_	_	
3-3	170-175	Bitte	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
