#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=P: Liebe Frau Prysselius, leider kann ich den vorgeschlagenen Termin nicht wahrnehmen, ich habe momentan einen vollen Terminkalender
1-1	0-1	P	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Liebe	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	9-13	Frau	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	14-24	Prysselius	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	24-25	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	26-32	leider	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	33-37	kann	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	38-41	ich	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-10	42-45	den	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-11	46-61	vorgeschlagenen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-12	62-68	Termin	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-13	69-74	nicht	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-14	75-85	wahrnehmen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-15	85-86	,	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-16	87-90	ich	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-17	91-95	habe	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-18	96-104	momentan	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-19	105-110	einen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-20	111-117	vollen	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-21	118-132	Terminkalender	*[1]	Begrüßung[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=Könnten wir die Sache hier klären?
2-1	133-140	Könnten	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-2	141-144	wir	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-3	145-148	die	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-4	149-154	Sache	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-5	155-159	hier	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-6	160-166	klären	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
2-7	166-167	?	*[2]	Inhaltlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=T: Guten Morgen Frau Svensson, das verstehe ich
3-1	168-169	T	_	_	_	_	_	_	_	_	_	_	
3-2	169-170	:	_	_	_	_	_	_	_	_	_	_	
3-3	171-176	Guten	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-4	177-183	Morgen	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-5	184-188	Frau	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-6	189-197	Svensson	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-7	197-198	,	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-8	199-202	das	*[3]	Begrüßung[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
