#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Passt, oder?
1-1	0-1	L	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	_	_	_	_	_	_	_	_	_	_	_	
1-3	3-8	Passt	_	_	_	_	_	_	_	_	_	_	_	
1-4	8-9	,	_	_	_	_	_	_	_	_	_	_	_	
1-5	10-14	oder	_	_	_	_	_	_	_	_	_	_	_	
1-6	14-15	?	_	_	_	_	_	_	_	_	_	_	_	

#Text=L: Das passt.
2-1	16-17	L	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-18	:	_	_	_	_	_	_	_	_	_	_	_	
2-3	19-22	Das	_	_	_	_	_	_	_	_	_	_	_	
2-4	23-28	passt	_	_	_	_	_	_	_	_	_	_	_	
2-5	28-29	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E: Ich schaue gerade noch bei mir.
3-1	30-31	E	_	_	_	_	_	_	_	_	_	_	_	
3-2	31-32	:	_	_	_	_	_	_	_	_	_	_	_	
3-3	33-36	Ich	_	_	_	_	_	_	_	_	_	_	_	
3-4	37-43	schaue	_	_	_	_	_	_	_	_	_	_	_	
3-5	44-50	gerade	_	_	_	_	_	_	_	_	_	_	_	
3-6	51-55	noch	_	_	_	_	_	_	_	_	_	_	_	
3-7	56-59	bei	_	_	_	_	_	_	_	_	_	_	_	
3-8	60-63	mir	_	_	_	_	_	_	_	_	_	_	_	
3-9	63-64	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=L (glz.): Gut.
4-1	65-66	L	_	_	_	_	_	_	_	_	_	_	_	
4-2	67-68	(	_	_	_	_	_	_	_	_	_	_	_	
4-3	68-71	glz	_	_	_	_	_	_	_	_	_	_	_	
4-4	71-72	.	_	_	_	_	_	_	_	_	_	_	_	
4-5	72-73	)	_	_	_	_	_	_	_	_	_	_	_	
4-6	73-74	:	_	_	_	_	_	_	_	_	_	_	_	
4-7	75-78	Gut	_	_	_	_	_	_	_	_	_	_	_	
4-8	78-79	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=L: Ach so, darf ich anfangen, oder?
5-1	80-81	L	_	_	_	_	_	_	_	_	_	_	_	
5-2	81-82	:	_	_	_	_	_	_	_	_	_	_	_	
5-3	83-86	Ach	_	_	_	_	_	_	_	_	_	_	_	
5-4	87-89	so	_	_	_	_	_	_	_	_	_	_	_	
5-5	89-90	,	_	_	_	_	_	_	_	_	_	_	_	
5-6	91-95	darf	_	_	_	_	_	_	_	_	_	_	_	
5-7	96-99	ich	_	_	_	_	_	_	_	_	_	_	_	
5-8	100-108	anfangen	_	_	_	_	_	_	_	_	_	_	_	
5-9	108-109	,	_	_	_	_	_	_	_	_	_	_	_	
5-10	110-114	oder	_	_	_	_	_	_	_	_	_	_	_	
5-11	114-115	?	_	_	_	_	_	_	_	_	_	_	_	

#Text=E (glz.): Ja, genau.
6-1	116-117	E	_	_	_	_	_	_	_	_	_	_	_	
6-2	118-119	(	_	_	_	_	_	_	_	_	_	_	_	
6-3	119-122	glz	_	_	_	_	_	_	_	_	_	_	_	
6-4	122-123	.	_	_	_	_	_	_	_	_	_	_	_	
6-5	123-124	)	_	_	_	_	_	_	_	_	_	_	_	
6-6	124-125	:	_	_	_	_	_	_	_	_	_	_	_	
6-7	126-128	Ja	_	_	_	_	_	_	_	_	_	_	_	
6-8	128-129	,	_	_	_	_	_	_	_	_	_	_	_	
6-9	130-135	genau	_	_	_	_	_	_	_	_	_	_	_	
6-10	135-136	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E (glz.): Ich gucke noch mal schnell.
7-1	137-138	E	_	_	_	_	_	_	_	_	_	_	_	
7-2	139-140	(	_	_	_	_	_	_	_	_	_	_	_	
7-3	140-143	glz	_	_	_	_	_	_	_	_	_	_	_	
7-4	143-144	.	_	_	_	_	_	_	_	_	_	_	_	
7-5	144-145	)	_	_	_	_	_	_	_	_	_	_	_	
7-6	145-146	:	_	_	_	_	_	_	_	_	_	_	_	
7-7	147-150	Ich	_	_	_	_	_	_	_	_	_	_	_	
7-8	151-156	gucke	_	_	_	_	_	_	_	_	_	_	_	
7-9	157-161	noch	_	_	_	_	_	_	_	_	_	_	_	
7-10	162-165	mal	_	_	_	_	_	_	_	_	_	_	_	
7-11	166-173	schnell	_	_	_	_	_	_	_	_	_	_	_	
7-12	173-174	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E (glz.): Bei mir steht auch, die Aufzeichnung läuft.
